,neg,neu,pos,compound
the party that believes donald trump is a great statesman and won reelection is the very same party that believes herschel walker won a debate where words were used to express cognitive thought #demvoice1 #warnock4georgia,0.0,0.624,0.376,0.9509
in the warnockwalker debate when the moderator asked walker if he would back trump he said yes he is my friend that is all georgia needs to know walker would pick his friend who is under investigation for breaking the law instead of someone who cares about democracy,0.0,0.784,0.216,0.9022
senator warnock voted with biden 96 of the time i too agree with president biden 96 of the time because he makes good decisions unlike donald trump i love having a hard working president again that puts america first and helps americans,0.029,0.714,0.256,0.8957
for what its worth from here in georgia i can guarantee that from my friends family there at least 23 votes to reelect us senator raphael warnock however ive long distanced myself from kith kin who support trump as well as trump endorsed candidates #gadebate #gapol,0.0,0.739,0.261,0.8957
the idea that extremely wealthy people must be highly intelligent and competent was enough for trump to trick people into voting him into the presidency of the united states beware of bezos zuckerberg and elon musk,0.027,0.71,0.262,0.882
i am an hispanic i cannot understand the amount of hispanics that were brainwashed by trump and this party into believing that they believe in their values and will do everything to help them economically and with their moral values,0.0,0.752,0.248,0.8814
pelosi to vp pence dont let anybody know where you are leader of the opposing party cares more about pence than the president of his own party cuz thats how true americans are at the end of the day we look out for each other trump has forfeited his right to be american,0.0,0.814,0.186,0.8807
herschel walker said that president biden won effectively calling donald trump a liarwhich the whole world already knows is true,0.0,0.63,0.37,0.8555
the footage of pelosi snapping into a slim jim while she makes sure the vp is safe and congress can meet is matched only by the footage of her saying if trump comes to the capitol i want to punch him out and im going to go to jail and im going to be happy,0.0,0.828,0.172,0.8481
you cant hate donald trump and love america i know this will hurt some feelings but im honorbound to speak the truth at every opportunity,0.068,0.586,0.347,0.8422
rather than asking walker whether he would support expanding the court i would have just asked him how many seats are on the supreme court no joke dont underestimate the value of basic factual qs that the likes of trump walker never have to answer dismiss as gotchas,0.074,0.697,0.23,0.8382
#tequilatweet i couldnt imagine tweeting 10 yrs ago if nancy pelosi had run for president against trump in 2016 i wouldve voted for her proudly and she wouldve put the country first and our democracy first and she wouldnt have been a criminal or a traitor like trump,0.0,0.822,0.178,0.8349
trumps involvement in this race means that our fight for our democracy is more important than ever our elections are free fair and secure and im going to make sure that they stay that way tim michels wont #wigov,0.054,0.688,0.258,0.8313
id guess its the video of pelosi schumer et al on jan 6 it shows them trying to get help nancy checking on on vp pence trump didnt threatening to knock trump out americans love a badass and nancy was badass that day,0.065,0.737,0.198,0.8164
good morning yall its saturday october 15 2022 and as the world burns ww3 is looming the president bumbles and fumbles thru his daily duties and the radical left attempts to gaslight the world against trump its time to wake up i am and im going deer hunting wish me luck,0.027,0.82,0.153,0.7964
from usa today nancy pelosi re trump on jan 6 2021 if he comes im going to punch him out ive been waiting for this for trespassing on the capitol grounds im going to punch him out and im going to go to jail im going to be happy who wd pay to see that,0.023,0.853,0.124,0.7906
trump sent a cordial letter to the j6 unselect committee basically giving them one last chance to do the right thing my perspective is you cant negotiate with evil i think trump is simply clearing his conscience before he drops the hammer just my opinion,0.0,0.835,0.165,0.7855
the strongest american is a patriotic onehold the line and finally drain the washington dc swampamerica has a beautiful story president trump is fighting for us and we will fight for him the best is yet to come,0.108,0.658,0.234,0.7845
warnock won that debate and walker said nothing of substance hillary won every debate and trump said nothing that mattered and was a bully be smart georgia,0.091,0.623,0.286,0.7845
