,neg,neu,pos,compound
thanks steve i bought a 3070 black gaming from evga because it was one of only a few in stock at my local micro center i really wanted the 3080 but this had plenty in stock so might as well its a huge upgrade from my 1080ti which i loved dearly nearly all my title games have maxed itself to 144fps or close to it on 1440p im pleased if its meant to be a 2080ti replacement im still happy i have a 2080ti for half the price,0.0,0.735,0.265,0.9796
i feel like they shouldve contacted psu companies ahead of time and asked them to start making 12 pin included power supplies also if they use this connector and make similar ones for cpu power seta power and motherboard power it will look nice but that especially wont be happening for a long time since motherboards must support it as well seta things wont have a problem though imagine a 2 12 pins for a motherboard and 1 for the cpu it would look nice its a great idea for 12 pin power but they couldve handled it better,0.0,0.762,0.238,0.9775
the card in a purely objective sense is good in that it is doing nothing horrible thats high praise seriously gamers nexus the card is awesome improvement compared to previous gen and the price point is pretty good again compared to previous gen its ok to say it even if amd releases a better card tomorrow,0.023,0.6,0.377,0.9775
i have an actual rtx 3070 founders edition and i have to say it is loud for sure underload and it gets quite hot though i am thinking of getting a triple fan mount that i can blow more air to the gpu as the rtx 3070 is loud and concerning with the heat i rather not know my gpu is running like 80 fan speed but more like 60 but the gpu is just not designed to be cooled as great as it could sure nice cooling looks but is kinder impractical as it leaves the gpu running hot and loud,0.0,0.766,0.234,0.9765
i didnt pay shit for my zotac twin oc 3070 and it honestly does really well the monitor i use is the samsung odyssey g5 and it runs super well at native 1440p at 144hz so i dont see what there is to honestly bitch about its a pretty good graphics card and to be quite fair i literally see no difference in image quality between 1440p and 4k res 4k res is utterly useless to me when it comes to quality and performance 1440p is perfectly fine,0.082,0.614,0.304,0.9702
man i dont wanna wait but im soooooo very torn have a computer built around working perfectly with up to a 3080 but bought a friends 1660 super oc edition to tide me over ive been ready for more horsepower since i got it lol,0.05,0.574,0.376,0.9695
i dont like platform wars you good with console great you good with pc great i prefer pc for comfort reasons i was never able to get comfortable with a controller i prefer my input to be sitting firmly on a flat surface and not floating in my hands,0.035,0.585,0.38,0.9666
love your videos with great clear info and humor i was thinking to get 3070 if available in store lol to play sim racing assetto corsa competizione with triple screens maybe max settings or somethings the card can handle i am yet to see any youtube video try out triple screens thanks in advance,0.0,0.681,0.319,0.9643
go gamers nexus the best most detailed reviews i love your work very interesting and obviously done with a lot of love keep up i hope to contribute somehow myself as soon as i get back on my feet a big hello from a poet in croatia,0.0,0.654,0.346,0.9639
thanks for a really informative video liked and subbed i literally just want to play at 4k 60fps and will be using a 4k tv high end samsung and would like to know if 3070 will guarantee that level of performance or if i really need a 3080 for 4k just to reiterate i dont need mad high refresh rate gaming 4k 60fps ultra settings is my goal any help appreciated,0.0,0.711,0.289,0.9628
i have a question for the channel i have in hand a nvidia 3070 fe and a msi 3070 gaming x trio which one should i keep what is the best card to keep better silicon from fe or better cooling from msi who has higher quality for parts and transistors fe or msi please i need an expert insight since you benchmark and are familiar with 3rd party cards thank you,0.0,0.734,0.266,0.9623
in brazil they are around 80000 usd and a 3080 is like 950130000 usd that is if you find a good deal currently a decent branded say evga new 2080 super is anywhere from 450000 to 650000brl which is 900120000usd so in theory the 3080 and the 3070 should be expressivly cheaper than any 2080 super problem is the 2000 series here in brazil started high and only went up even when the cards got old and the 3000 series came out same for the 1000 series now the 3000 is supposed to be much more accessible price wise than the 1000 and 2000 series so well have to wait and see if one can actually get better prices for the 3070 and 3080 than with last generations,0.019,0.824,0.156,0.9613
great 45minutes video from igor and now your 34 minutes on top linus approach of 10 minutes thats gonna be a great evening much love from germany guys and keep up your great work,0.0,0.605,0.395,0.9601
was really happy and fortunate i was able to buy the 3070 founders edition today it was a much needed upgrade since i m nowhere as knowledgeable compared to my friends with computers and had been using my first pc they put together back in 2014 using a gtx 760 i recently put together my new pc about 3 weeks ago hoping to get the 3070 on the 15th which would ve been a nice birthday present but glad i was able to purchase one today love your video and i can t wait to get mine on nov 5th,0.0,0.802,0.198,0.9597
im sitting on an sli 770 set this card is looking really good though id like to see what the amd cards are going to look like and the cost my whole system is over 6 years old now with the 4770k and ddr3 1866 ram i would love to build a whole new system if i had the money its seem like a great time for upgrades right now if not for everything else in the world going on,0.0,0.784,0.216,0.9583
personally i target high refresh rate 1080p gaming so even this is not really overkill i have a 165hz monitor and this card paired with one of the new ryzen 5000s will enable me to get that in a lot of games so this really is a perfect pairing at its price point for those targeting that performance level even 1440p isnt hitting those super high refresh rates like 144 on a 10900k so the 3070 isnt overkill for those targeting that level of performance either clearly if you want high refresh rate 1440p gaming a 3080 is where you want to go as of this moment maybe the new amd cards will also satisfy that need but its clear that the 3070 is priced very perfectly right now with such huge performance overall,0.015,0.824,0.162,0.9578
title kinda clickbaity but great video regardless 3070 seems like the perfect card for 1440p gaming thank you,0.0,0.454,0.546,0.9572
well this one was hella easy to get i just ordered mine on best buy will be here tommorrow looks like the extra step kept a lot of the botters away or they just didnt give a dayum about this card for me i been using ti 1070 s in sli it was time to upgrade and being that its best buy during the holidays i will just trade this one in if the 3080 shows up between now and jan 16,0.0,0.788,0.212,0.9571
dang it may be a joke to many in a way it is all the scalpers availability going back to gddr6 and the constant amd 1upping but i had the cash ready after saving up for over a year to get a 3090 and finally replace my 1080ti true there are plenty of people to whom even that would be luxury or wouldnt want to drop so much on a card butto then miss grabbing it with all the bot issues stock issues the silly poscap stuff in a way im almost glad i couldnt get one yet i never adopted the rtx 20 series as to me it just wasnt worth it in terms of price or performance plus nothing from the red team really beat my card enough to justify replacing it so ended up saving most and upgrading my storage instead i now have 75tb of total storage in my main pc all of it ssds thanks to going for what i wanted and how long ago i got it versus going for dealscheaper options it is rather an eclectic mix of brands now samsung adata sabrent and crucial lol,0.026,0.857,0.116,0.9571
now that availability and prices are approaching levels i am comfortable with i m going to replace my msi gtx 1070 with an fe rtx 3070 so this video is just perfect thanks so much for including the 1070 in the tables really helps understand the gain,0.0,0.707,0.293,0.945
i really enjoy your videos mate great energy and i think youre pretty entertaining also,0.0,0.336,0.664,0.9412
interesting makes sense why my 2 year old asus dual with a 338w power limit happily lives in the 2100mhz region and gets almost 10500 in port royal and 20 on all the other 2080ti comparisons they must be using a bone stock 2080ti plus i game at 4k so definite pass weird thing is paid 1189 aud new back in oct 2018 which is about 800usd prior to covid price hike wasnt such a bad deal for a good few years 4k gaming my port royal at 10272 which is more than 2000 points more than most reviews are showing a 2080ti doing and 2k more than a 3070 even in its preferred resolution and feature set even when using a i74770k port royal was 9600 points with gpu not even overclocked a good 1300 more points than a rtx 3070 at 1440p,0.013,0.865,0.121,0.9406
i feel liked i lucked out when the gigabyte gaming oc was on sale for 529 brand new on amazon last month much better than the 2070s and 5700xt i had compared to those the card is basically silent around 70 fan speed even at 100 with 3 fans compared to 2 on the other cards its nowhere near as loud ocuv is great and the card runs a lot cooler too,0.0,0.782,0.218,0.9403
videos like this help a lot specially to people like me who are building a pc for the first time and dont know much about components im still trying to determine if im going overboard with a 3070 to run any architecture software and play skyrim with mods in 1080 how much is too much you know thanks for the video really appreciate,0.0,0.767,0.233,0.9373
