,neg,neu,pos
great for 2k without compromise aesthetically very beautiful,0.004999999888241291,0.019999999552965164,0.9760000109672546
the graphics card came with an graphics card supporter to short in my case and the adaptor for the power cable im completly happy with tthi product,0.003000000026077032,0.023000000044703484,0.9750000238418579
fast delivery well wrapped i was upgrading from 2060super and its a huge difference playing at 1440p all games run smooth with fps over 100 very happy customer price was high thats the only thing also amazon raised the price by almost 100 euro in a matter of 1 day because i put this card in my basket that was unbelievable shade practices,0.004999999888241291,0.023000000044703484,0.972000002861023
play video perfect gpu with oc i achieved excellent results,0.003000000026077032,0.02500000037252903,0.972000002861023
great purchase quick and easy the card arrived quickly and everything was perfect just one little note i would have protected the box a bit more but no big deal,0.020999999716877937,0.04399999976158142,0.9350000023841858
nice and sturdy with 2 hdmi 21 for a midrange computer for gaming multimedia use,0.004000000189989805,0.07999999821186066,0.9160000085830688
runs great without any problems and does what it should,0.010999999940395355,0.07900000363588333,0.9110000133514404
bought this as an upgrade for a gtx1080 and as you can imagine its a serious improvementinstalling the card is easy enough as long as your case is big enough,0.007000000216066837,0.08399999886751175,0.9089999794960022
brilliant,0.023000000044703484,0.1379999965429306,0.8389999866485596
for now since i installed it on a pc that has just finished assembling i can only say that it works well and is very quiet despite the 3 fans since there is no time limit for comparison i cant say anything else until i have done some tests,0.013000000268220901,0.16500000655651093,0.8220000267028809
looks amazing performs brilliantly i needed an upgrade and this fit the bill the price was a little high but anything to do with pcs is priced highly at the moment changing gpus can be a little daunting if youve never done it before just be sure to research before committing,0.04399999976158142,0.13899999856948853,0.8169999718666077
good graka can sometimes gamble properly,0.03799999877810478,0.40700000524520874,0.5550000071525574
the price is painful but arguably the best pricequality ratio without ray tracing the card does not get warm in most games making it very quiet and energy efficient attention the map is very long make sure that it fits into the housing,0.27300000190734863,0.41600000858306885,0.3109999895095825
not proud too expensive but i needed an upgrade from an sli gtx 980 now im happy but poor ,0.4090000092983246,0.4309999942779541,0.1599999964237213
not worth the price,0.6499999761581421,0.3019999861717224,0.04699999839067459
not so great perormance in 1440p,0.7250000238418579,0.24799999594688416,0.027000000700354576
i unsealed this graphic card and installed on an entirely new pc mb cpu fans etc and it fully collapsed on 3d functions after 2 hours tested with many different games and graphic test softwares which all proved the malfunction in a brand new graphic card,0.8629999756813049,0.12800000607967377,0.008999999612569809
