,neg,neu,pos
i cant stop picturing sbf of #ftx screaming i loooooooooove ftx #crypto #kucoin #binance,0.004000000189989805,0.024000000208616257,0.9710000157356262
gm nice start with ftx hack,0.004000000189989805,0.029999999329447746,0.9660000205039978
the ftx movie will be the greatest finance movie ever made,0.008999999612569809,0.05700000002980232,0.9340000152587891
tonight visited us on s stage to discuss ftx the space hit over 60k listeners the future of media and streaming is here on twitter youre in the right place at the right time weve caught the wave,0.0020000000949949026,0.06599999964237213,0.9319999814033508
shout out to l2 wallet got my lrc out of coinbase and feel so relieved i trust decentralized exchanges utilizing math and algorithmic security over centralized exchanges like #ftx where your assets can be lent and and leveraged at your mercy diary,0.008999999612569809,0.0820000022649765,0.9089999794960022
mad respect to for the way they are handling the ftx situation giving full refunds for anyone harmed on their end yet again they show how much they care about their customers,0.0430000014603138,0.12300000339746475,0.8349999785423279
listening to this story about a father dealing with suicidal thoughts bc of the ftx saga being inspired by the web3 community on #twitterspaces to keep on living for his son and him saying this community saved his life and hell tune in on spaces daily is just amazing ,0.02500000037252903,0.1469999998807907,0.8270000219345093
i dont think there is any doubt about it any more after seeing what ftxalameda sheets looked like when sbf pledged 5b to 10b in liquid assets for elon musks twitter bid he was undoubtedly gonna invest user assets this is incredible,0.027000000700354576,0.23899999260902405,0.7350000143051147
i now view the money i lost on ftx as an expensive ticket to watch the most exhilarating financial crime thriller of all time play out in real time im rekt but i am still glad to be here with you my brothers we will have great memories of this in 20 years onward and upward,0.08399999886751175,0.18700000643730164,0.7279999852180481
sex is good but have you gone down the ftx rabbit hole here are some interesting ones ,0.014999999664723873,0.2619999945163727,0.722000002861023
i think all audiences would benefit greatly from a philosophical discussion between and erik and richard both have debated peter schiff warned people about celsius ftx and other centralizing forces in finance lets learn together true #defi,0.008999999612569809,0.27900001406669617,0.7120000123977661
i am lucky to have never had an account on ftx nor any business relationships with them i never knew why i passed on it over and over again now everything makes sense i think i got some guidance from above ,0.05900000035762787,0.24699999392032623,0.6949999928474426
the likes of sbf and ftx is the reason why were building the world of decentralized finance if code says so theres nobody you need to trust soon with youll be able to do more than you ever were able with any centralized exchange and in sound decentralized manner,0.03999999910593033,0.3089999854564667,0.6510000228881836
 starts a space surrounding ftx hack warns thousands of crypto enjoyoors immediately and join to break down the onchain activty live and they somehow manage to rope in twitter spaces is incredibly powerful,0.024000000208616257,0.3440000116825104,0.6330000162124634
im really glad that the regulators sanctioned tornado cash cozied up to sbf and focused on killing defi instead of putting in guardrails to potentially prevent the ftx collapse i feel very protected as an investor right now,0.10000000149011612,0.27000001072883606,0.6299999952316284
we are building blockchain technology to get rid of centralized entities like ftx and later traditional banks #cardanos mission is still relevant,0.008999999612569809,0.45500001311302185,0.5360000133514404
