,neg,neu,pos
good morning especially you ftx,0.003000000026077032,0.017000000923871994,0.9800000190734863
excited to visit alex jones and infowars in studio on monday to talk ftx and the hunt for justice make sure to check it out i cant do worse than kanye did last week,0.013000000268220901,0.05400000140070915,0.9319999814033508
gm fam great day to hustle great day to be alive except for ftx not so great for him,0.03700000047683716,0.07100000232458115,0.8920000195503235
#amc after ftx scandal i think we will surpass 50k there is more to this then we know #amcstock #amcape #amcstrong #amcarmy ,0.007000000216066837,0.18799999356269836,0.8050000071525574
9 days till christmas to win 200 worth of #eth easily follow the instructions in the pinned post #giveaway #giveawayalert #nftcommunity #eth #free #ftxbankruptcy #ftx #thewhitelotus #coredao #strictly,0.004999999888241291,0.3700000047683716,0.625
one of the last things sbf of ftx did before being arrested today was give an interview to unusual whales with your help questions and pressure we were able to press him where others could not and maybe together it was enough to make a difference,0.02800000086426735,0.46700000762939453,0.5049999952316284
i have a christmas party to go to in an hour and no one is going to know anything about ftx and thats probably best for my mental health rn lol,0.13899999856948853,0.36800000071525574,0.49300000071525574
alright guys ftx has officially been arrested and will get extradited i personally will be putting up bail money when he gets back to the states sam can come stay with me i promise a couple vegetables a day and a hair trim every week,0.05999999865889549,0.5910000205039978,0.3479999899864197
people lost their hardearned money and they deserve justice for any wrong doing i am hopeful my colleagues share my desire to pass the lummisgillibrand responsible financial innovation act this comprehensive legislation would prevent future collapses like ftx,0.22499999403953552,0.4410000145435333,0.3330000042915344
the sbfftx saga has reached a critical point with news of sbf being arrested in the bahamas binance fud seems unbelievable 77 trillion trading volume in 2021 #solananft trending is something cooking us cpi announcement today question is or ,0.0820000022649765,0.6119999885559082,0.3059999942779541
just in #ftx founder sam bankmanfried told bbc he hope to make money to pay people back,0.013000000268220901,0.7390000224113464,0.24799999594688416
sam bankmanfried wants to start a new business to help #ftx clients recover their funds cant make this up,0.1379999965429306,0.6159999966621399,0.2460000067949295
gotta love the crypto twitter influencers that sucked up to and promoted sbf ftx for years then became extremely impressive antisbf journalists after its collapse and now have moved on to fudding uniswap the maximally decentralized antithesis of ftx,0.3720000088214874,0.4099999964237213,0.21799999475479126
breaking sam bankmanfried was just arrested #ftx #sbf he will be extradited to the us soon make sure to turn my notifications on for breaking news alerts,0.014999999664723873,0.7770000100135803,0.20800000429153442
was #sbf getting arrested a coordinated effort to ensure he wouldnt be able to testify tomorrow in front of congress what great timing pure coincidence im sure ftx #ftx,0.2809999883174896,0.5329999923706055,0.1860000044107437
there are likely many experts training sbf right now on how to best answer congresss questions tomorrow at the investigating the collapse of ftx part i hearings,0.041999999433755875,0.7940000295639038,0.164000004529953
the man in the middle right now is alfred lin who is al well he is a partner at sequoia capital his firm first invested in robinhood in 2018 then his firm invested in ftx in 2021 in 2022 his firm invested in citadel securities he is now on citadels board,0.006000000052154064,0.8330000042915344,0.16200000047683716
do not use centralized exchanges like app etc use and some of the cool dexes built on top like embrace selfcustody do not let scammers like ftx take your money away,0.2980000078678131,0.5460000038146973,0.15600000321865082
 ftx founder sam bankmanfried arrested set to be extradited to us finally ,0.02199999988079071,0.8410000205039978,0.13699999451637268
1 dont keep all your money in one location 2 if you feel like you want to withdraw because of fud thats fine many wish they could roll the clocks back to do it for ftx 3 youre doing yourself a favour because otherwise youll just lose the money gambling on cpi today,0.29499998688697815,0.5809999704360962,0.12399999797344208
ftx creditors two major paths for asset recovery clawback however not talked about much is the ftx purchase ignore the ct haters naysayers cuz none have built a biz except sit at home buy a 32bn business for 6bn to 8bn with 1 million customers no brainer to me,0.2930000126361847,0.5830000042915344,0.12399999797344208
ftx founder sbf wants to start a new business he told bbc,0.013000000268220901,0.8679999709129333,0.11900000274181366
breaking sam bankmanfried of ftx has said he hopes to start a new business to make enough money to pay back victims of the ftx collapse per bbc,0.0949999988079071,0.7940000295639038,0.11100000143051147
now that binance closed my account im going back to trading on ftx,0.125,0.781000018119812,0.09300000220537186
sbf just answered yes to the question were ftx tokens backed 11 so where are their 13f filings for those 400m #amc shares they needed for backing all those tokens listed on their platform #ape,0.02500000037252903,0.8830000162124634,0.09200000017881393
can you explain this gap in your resume i was involved in the financing of a multi billion dollar venture capital firm making investments in a broad spectrum of industries spanning from blockchain development to military grade drone technology you were an ftx customer,0.06400000303983688,0.843999981880188,0.09200000017881393
when #bitcoin was over 60k you not only urged people to put everything they had into bitcoin but you also encouraged them to mortgage their homes and borrow against their credit cards to buy even more bitcoin then they could afford you are in no position to criticize ftx ,0.38499999046325684,0.5230000019073486,0.09200000017881393
ftx was alamedas piggy bank and money printer,0.1589999943971634,0.7559999823570251,0.08500000089406967
what happened at ftx appears to be good oldfashioned fraud and im glad prosecutors have been investigating what happened to ensure everyone who committed crimes is held accountable for what they did,0.6179999709129333,0.29899999499320984,0.08299999684095383
