,neg,neu,pos
ryan and matt have officially been appointed as deputies on the supreme peoples assembly of north korea thank you all for helping us get here we couldnt have done it without you ,0.004000000189989805,0.03999999910593033,0.9559999704360962
always a good day when you start out with a class lecturediscussion about north korea,0.004999999888241291,0.05999999865889549,0.9350000023841858
i read this and said thank god for north korea god bless kim jong un,0.010999999940395355,0.06800000369548798,0.921999990940094
so apparently ww3 will be 130 countries vs north korea belarus syria nicaragua and russia i like our odds,0.00800000037997961,0.30399999022483826,0.6880000233650208
kraut talking about north korea in his new video is so funny he literally compared it to 1984 and pushed the unicorns in north korea lie ,0.052000001072883606,0.3179999887943268,0.6299999952316284
all you had to do was nothing we were energy dominant inflation was less than 2 gas was less than 2 where i live we had peace in the middle east peace with north korea wages for middlelower earners increased the most in history we had gains on our retirement accounts,0.03700000047683716,0.3919999897480011,0.5699999928474426
its not that i want to see putin humiliated but i do enjoy him begging north korea iran and belarus for weapons support luka russia is great come on help us please come onnnnnnnnn,0.2199999988079071,0.3529999852180481,0.42800000309944153
the biggest wrestling show was in north korea,0.019999999552965164,0.5929999947547913,0.3869999945163727
thank goodness for james cook doing his job and asking pertinent questions if the snp drones dont like a free media they should sod off to north korea their attitudes are more in tune with those of a totalitarian dictator,0.22100000083446503,0.42800000309944153,0.35100001096725464
bts invades north korea,0.024000000208616257,0.6830000281333923,0.2930000126361847
the population of north korea is far smaller than that of the rest of the world and for a good portion of its history it was actually a far better alternative to the south living standardswise the us is still quantitatively a much greater evil,0.2460000067949295,0.46399998664855957,0.28999999165534973
south korea has enhanced their readiness and strengthened their surveillance capabilities due to a possibility that north korea could conduct provocations during their hoguk defence drills which started today these drills involve field maneuvers and exercises with the us,0.006000000052154064,0.7149999737739563,0.27799999713897705
its so funny that trump had all the worlds bad guys under control because his twitter was so spicy he literally memed north korea and kim jong un into submission lol,0.3919999897480011,0.37599998712539673,0.23199999332427979
i know liberals who are better communists than north koreas elite forces,0.1469999998807907,0.6290000081062317,0.2240000069141388
a democrat is ruling the usa right now what we got from him ukraine war the last tenure was of capitalist trump and no war happened during his tenure he made peace with north korea and all other nations the usa economy was never in recession 12,0.15299999713897705,0.6290000081062317,0.21799999475479126
south koreas troops kicked off their annual hoguk defence drills today designed to boost their ability to respond to north koreas nuclear and missile threats,0.014000000432133675,0.7770000100135803,0.20900000631809235
it was a daft idea for to have entertained the idea of inviting tadesse to give a talk it seems to have rowed back from it and for that it deserves credit also credit to the ever amazing for writing the letter lia can give a talk in north korea,0.2409999966621399,0.5659999847412109,0.19300000369548798
are you drunk trump started no new wars inflation was under control putin was behaving north korea had stopped firing missiles over japan the world was a lot safer with the mean man in the wh trump 2024 ,0.3630000054836273,0.44600000977516174,0.19099999964237213
is he claiming he is so popular in israel that he could be pm there why hasnt he moved to israel nigeria north korea or russia where he claims to have such high popularity and favorability he could work in their governments,0.06700000166893005,0.7459999918937683,0.18700000643730164
strangely enough north korea is one of only three countries with an actual government,0.07800000160932541,0.753000020980835,0.16899999976158142
indian originnris live in 208 out of 210 countries globally from 16 folks in north korea to 45m in the us 02 of frances population to 65 of mauritius conquests of migratory westerners yielded hard power movement of migratory indians yield soft power we are everywhere,0.01899999938905239,0.8209999799728394,0.1599999964237213
as you get older you realize there are a lot of facets to wisdom in life i guess maybe gwb wasnt so wrong when he called iran iraq and north korea part of an axis of evil,0.125,0.7289999723434448,0.14499999582767487
south korea and us troops fires back a missiles in response to north korea w welp see you at the lobby guys w,0.05400000140070915,0.8199999928474426,0.12600000202655792
hey north korea were watching the hearing right now so if you could not,0.02199999988079071,0.8529999852180481,0.125
japans defense minister hamada north korea has most likely achieved the capability of mounting a nuclear warhead on a ballistic missile capable of reaching japan,0.0860000029206276,0.7900000214576721,0.12399999797344208
it cracks me up thinking about idols in the military busting their asses in like the marines or at the border of north korea and shit and then theres sehyoon playing guitar and donghun going on dates with his bfs,0.4359999895095825,0.4490000009536743,0.11500000208616257
glad you care mark has disclosed his close relationship with the libs campaign office we are not north korea biases and conflict of interest should be disclosed the level of biased media in this state astounds me,0.36800000071525574,0.5180000066757202,0.11400000005960464
i love how republican politicians will talk shit about north korea for teaching fake history and indoctrinating their citizens and then be like happy columbus day ,0.640999972820282,0.25200000405311584,0.10700000077486038
update reuters south koreas troops kicked off their annual hoguk defense drills on monday designed to boost their ability to respond to north koreas nuclear and missile threats amid simmering tension over both sides military activities,0.020999999716877937,0.8740000128746033,0.10499999672174454
i cannot wait to see what twitter has to say when north korea kidnaps bts and makes them film north korean tourism ads,0.6029999852180481,0.2980000078678131,0.10000000149011612
good for tulsi gabbard when your party no longer supports or believes americans come first you walk not to mention nuclear war depopulation is another good reason to leave and remember the vp said we have a strong alliance with north korea so everything is a ok,0.5049999952316284,0.3959999978542328,0.0989999994635582
cause you see america is currently still technically at war with north korea so its kinda relevant,0.06199999898672104,0.8450000286102295,0.09300000220537186
do yall remember when south korea was blasting kpop across the border to north korea because i do,0.08500000089406967,0.824999988079071,0.09000000357627869
breaking japans defense minister says that north korea have completed preparations for its seventh nuclear test kyodo,0.006000000052154064,0.906000018119812,0.08799999952316284
if you stop and consider that the 3 countries in the world today that would most like to see donald trump return to the presidency are russia saudi arabia and north korea the international news these days takes on a whole different perspective,0.3310000002384186,0.5860000252723694,0.08299999684095383
so balen has to clean the city empty footpath give employment to all fix melamchi solve world hunger deweaponize north korea save the amazon and the list goes on is everything his responisibility,0.35499998927116394,0.5619999766349792,0.08299999684095383
 south korea pushes the us to exchange tactical nuclear weapons the south korean government has asked the united states to share tactical nuclear weapons to strengthen the countrys defense against north korea,0.01600000075995922,0.9020000100135803,0.0820000022649765
we are consistently updating you here with international development so that no idiot tells you he is going to north korea and you ignorantly be shouting osetigo ,0.26499998569488525,0.6589999794960022,0.07599999755620956
breaking japanese defense minister says that north korea may have completed its preparations for a nuclear test,0.00800000037997961,0.925000011920929,0.06700000166893005
so russia belarus north korea nicaragua and syria wont have a problem if someone will invade them and forcefully occupy about 20 of their territory good to know,0.38499999046325684,0.5519999861717224,0.06300000101327896
north korea is a place that is north of south korea and also the usa is a place in the world too,0.01899999938905239,0.9190000295639038,0.06199999898672104
man north korea really wants to be relevant dont they,0.5450000166893005,0.39399999380111694,0.061000000685453415
update senior south korean defense official north korea could carry out two or three nuclear tests in a row as part of efforts to develop tactical nuclear weapons,0.017999999225139618,0.925000011920929,0.05700000002980232
north korea has developed small nuclear warheads that can be carried by ballistic missiles japans defense minister,0.024000000208616257,0.9210000038146973,0.054999999701976776
a spokesman for north koreas kpa has stated that they north korea would take overwhelming military countermeasures against deliberate provocations by south korea i wonder how north korea will react when south korea starts their combined fieldexercises on monday,0.04600000008940697,0.8989999890327454,0.054999999701976776
in north korea the number of internet users is less than 500 001 of the population,0.21299999952316284,0.7350000143051147,0.052000001072883606
imagine you live in a country like north korea and you received a dvd via the black market on the dvd there are scenes of current american culture,0.13699999451637268,0.8119999766349792,0.050999999046325684
for those who like to say the us is not a democracy but rather a constitutional republic id like to remind them that iran china north korea and russia are also constitutional republics the difference is that ours is meant to guarantee democracy,0.16200000047683716,0.7879999876022339,0.05000000074505806
south korea believes north korea could conduct a localized provocation similar to the 2010 artillery skirmish and is currently taking steps to prepare for one,0.027000000700354576,0.9229999780654907,0.05000000074505806
language doesnt bring unity take south korea north korea both country speak same language but r enemies dont impose #hindi n say for unity the beauty of india is its diversity #stophindiimposition #stophindiimposition,0.4440000057220459,0.5080000162124634,0.04800000041723251
