,neg,neu,pos
it was a huge honour to be able to welcome his majesty king charles iii on the luton dart this was such a powerful and memorable moment for the whole town and we couldnt be more thankful for this opportunity ,0.0020000000949949026,0.008999999612569809,0.9879999756813049
well just another day in headteacher life privileged and honoured to have met hrh king charles iii today proud to serve ,0.003000000026077032,0.013000000268220901,0.984000027179718
i love this king charles is a fantastic father grandfather you can see how much he loves them all such a lovely relationship,0.006000000052154064,0.012000000104308128,0.9810000061988831
always so much grace beauty if i could sit down talk with one person id love for it to be her my fatherinlaw had the honor to meetwork with king charles and so it would be wonderful to sit down chat with kate princess of wales william prince of wales,0.003000000026077032,0.020999999716877937,0.9760000109672546
i met king charles iii when he was still prince charles on a walk in scotland i can honestly say it was like talking to an ordinary person no airs or graces keen to ask where id walked to and tbh a great experience that ill always remember,0.003000000026077032,0.04800000041723251,0.9490000009536743
many years ago my husband met king charles they were introduced and he was very kind several years later my husband was at another event and charles was present he called out to my husband by his first name and waved he cares about people remembers,0.003000000026077032,0.08399999886751175,0.9129999876022339
i hope that crowds of people will turn out for king charles coronation next year as a way of showing our support for the royal family,0.003000000026077032,0.08799999952316284,0.9089999794960022
at this point i honestly dont care what king charles does or doesnt do harry and meghan have been affirmed enough with the #rippleofhopeaward and #peopleschoiceawards i cant wait to see what they do next,0.009999999776482582,0.10000000149011612,0.8899999856948853
sarah vine that is a brilliantly written article so succinct but you got all the points in there and you are bang on send copy to king charles lll send copy to prince william and a separate one to princess catherine send copy to their legal team at bp this needs airing,0.019999999552965164,0.09399999678134918,0.8870000243186951
king charles paved the way for the men in the family by divorcing diana and getting the queens consent to marry the love of his life camilla he should be thanking his father for making his true love story possible,0.009999999776482582,0.1599999964237213,0.8309999704360962
top tip #454 short of eggs for your breakfast buy a king charles mask available from all good joke shops youll soon have plenty heading your way law of averages says your bound to catch at least one ,0.017000000923871994,0.2639999985694885,0.7179999947547913
breaking news king charles has opened up all the royal house holds to the public as warm rooms a food bank around the back soup kitchens for dinner a cotton mill for employment 16 hours day 247 the rest of the time is your own to do with what you like we are not far off,0.008999999612569809,0.35499998927116394,0.6359999775886536
has anyone mentioned the 1000000 worth of fridges and freezers that king charles donated ongoing help to many people,0.009999999776482582,0.35600000619888306,0.6330000162124634
