,neg,neu,pos
#fam i hope everyone enjoys their weekend except if you are named sam bankmanfried see you guys back here on monday,0.003000000026077032,0.035999998450279236,0.9620000123977661
i wish the best of luck to sam bankmanfried and ftx in his new chapter in life chapter 11 bankruptcy,0.003000000026077032,0.04699999839067459,0.949999988079071
if youre still here youre officially a better trader than su zhu do kwon kyle davies 95 of vcs and sam bankman fried congrats to u a king among men,0.007000000216066837,0.05000000074505806,0.9430000185966492
cz binances commitment to helping the crypto space grow has shown once again because he came to the aid of their competitor for the interest of the cryptocurrency industry hopefully sam bankmanfried and cz will help avert the doom that is already befalling the crypto space,0.004000000189989805,0.0560000017285347,0.9399999976158142
the sam bankman fried netflix movie is gonna be lit please we need a good financial movie i can only rewatch wolf of wallstreet so many times,0.014999999664723873,0.0820000022649765,0.902999997138977
sam bankmanfried is such a committed philanthropist that he donated other peoples money without asking them,0.014000000432133675,0.10599999874830246,0.8799999952316284
i am now wealthier than sam bankmanfried cant wait to get all kinds of media attention and puff pieces about me,0.027000000700354576,0.09399999678134918,0.8790000081062317
sam bankmanfried was born to lawyer parents on march 6 1992 on the stanford university campus the pin code of at least 85 nobel laureates in the past and his life symbolically began in the place of greatness he was destined to achieve eventually #ftx #crypto,0.003000000026077032,0.16200000047683716,0.8349999785423279
good evening sam bankmanfried was a 24 month sociological study conducted by massachusetts institute of technology we are now complete with our study thank you for your time,0.003000000026077032,0.16300000250339508,0.8330000042915344
good morning everyone except for sam bankmanfried,0.014000000432133675,0.15800000727176666,0.828000009059906
hes doing better than sam bankman fried lol,0.014000000432133675,0.20100000500679016,0.7850000262260437
a large reason why i still believe in humbl ftxs sam bankman footfall proves this is so early and some of the big front runners will go down early the slower companies in the meantime often win the race during this marathon of innovative tech #humbl,0.009999999776482582,0.20999999344348907,0.7799999713897705
hearing about this effective altruitism thing for the first time this sam bankmanfried chap seems like an interesting thinker,0.013000000268220901,0.3269999921321869,0.6610000133514404
its been quite the week for ftx sam bankmanfried and the crypto community heres a rundown of whats happened so far and what is still unfolding ,0.007000000216066837,0.3440000116825104,0.6489999890327454
ftx chief executive sam bankmanfried told an investor this week that alameda owes ftx about 10 billion wsj its all good no biggie,0.008999999612569809,0.3440000116825104,0.6460000276565552
yesterdays lotto winner is richer now than sam bankmanfried,0.027000000700354576,0.335999995470047,0.6370000243186951
so far there are only two people im aware of in crypto who have successfully come in and talked to us got his eth free pass sam bankmanfried got somethingthats where we focus crypto ,0.00800000037997961,0.3569999933242798,0.6349999904632568
just weeks ago sam bankmanfried was the golden child of crypto yesterday his multibillion company almost went under heres the quickfire breakdown of the biggest news in crypto,0.04800000041723251,0.37400001287460327,0.5789999961853027
all these picsvids of sam bankman freid going around have done more to remind me to have good posture than anything since boot camp,0.07199999690055847,0.38600000739097595,0.5419999957084656
alts officially more trustworthy than banks cf sam altman sam bankman,0.014000000432133675,0.4659999907016754,0.5199999809265137
blackrock is salivating as their friend sam bankman fried singlehandedly destroyed crypto,0.05900000035762787,0.4309999942779541,0.5099999904632568
sam bankmanfried a culinary sensation sam bankmansmoked 1n,0.01600000075995922,0.47600001096725464,0.5080000162124634
cold open to framed magazine issues then to sam sitting on a beanbag looking at a laptop pan out voiceover my name is sam bankmanfried i believe in doing the most good for the most people im 30 years old and today i lost 15 billion dollars,0.028999999165534973,0.47200000286102295,0.5
it is critical to understand sam bankman fried became famous and we believe wealthy by playing the cryptocurrency market through spreads and arbitrage geniuses they said the word on the #cryptonews streets is which is making the rounds on social media,0.023000000044703484,0.4880000054836273,0.48899999260902405
i volunteer to play sam bankman in the netflix special i have a vocal coach on standby,0.008999999612569809,0.5540000200271606,0.43799999356269836
we have come to an agreement on a strategic transaction with binance for ftx ceo sam bankmanfried,0.006000000052154064,0.5740000009536743,0.41999998688697815
from riches to rags sam bankmanfried founder and ceo of cryptocurrency exchange ftx went from 17 billion to 1 billion in a couple of days he set a record for the most amount of money lost in a single day according to bloomberg,0.08299999684095383,0.5070000290870667,0.4099999964237213
sam bankmanfraud is the best version could you find better once,0.3160000145435333,0.27399998903274536,0.4099999964237213
i wish i was as rich as sam bankmanfried monkeys paw curls,0.1889999955892563,0.4169999957084656,0.39399999380111694
 two crypto industry titans who own the biggest crypto exchanges are on battlefield sam bankmanfried aka sbf net worth 173b forbes the founder of ftx and changpeng zhao aka cz net worth 174b forbes the founder of binance,0.02800000086426735,0.5809999704360962,0.39100000262260437
in the kojevianhegelian sense sam bankman fried is the ultimate philosopher of effective altruism,0.029999999329447746,0.5809999704360962,0.38999998569488525
ftx ceo and founder sam bankmanfried follows through with his promise to give away 99 of his wealth,0.017999999225139618,0.6029999852180481,0.3799999952316284
little bit of crypto news will give a 2900 donation from ftx ceo sam bankmanfried to a chicago charity hes the first member of congress to distance himself from sbfs political donations we take this very seriously campaign manager manuel diaz says,0.007000000216066837,0.6269999742507935,0.3659999966621399
just in the founder of #ftx sam bankmanfried just landed his private jet in argentina,0.004000000189989805,0.6589999794960022,0.33799999952316284
sam bankmanfried just became the most wanted person in the world today next is carmen san diego then waldo find these suckers #dirtysambankman,0.37299999594688416,0.28999999165534973,0.3370000123977661
sam bankman fried is on the run sam say hi to do kwon when you see him,0.008999999612569809,0.703000009059906,0.2879999876022339
its a good day crypto scumbag sam bankmanfried lost his fortune and the democrats so far arent getting obliterated in the midterm elections,0.39899998903274536,0.3149999976158142,0.2849999964237213
sam bankmanfried is the most ethical person in the entire ea space by country mile literally ever other ea person is more evil than him,0.4699999988079071,0.24899999797344208,0.2809999883174896
sam bankmanfried was the 2nd largest donor to bidens campaign in 2020 that tells you all you need to know,0.020999999716877937,0.7020000219345093,0.2770000100135803
only when the tide goes out do you discover whos been swimming naked ladies and gentlemen mr sam bankmanfried wow unbelievable,0.05999999865889549,0.675000011920929,0.2639999985694885
insane 24 hours can change your life ftx ceo sam bankman fried has gone bankrupt he personally still owes over 650 million to lenders,0.30300000309944153,0.4449999928474426,0.25200000405311584
sam bankmanfried was just part of the bigger plan what is happening right now is set by cz and the elite this case has made the elite have full control over crypto we have started the phase where massive control and regulation will be completed#ftx #binance #sambankmanfried,0.03500000014901161,0.7149999737739563,0.25
a reminder that ftx ceo sam bankmanfried made the secondlargest donation to joe bidens 2020 presidential campaign,0.010999999940395355,0.7570000290870667,0.23199999332427979
ftx founder sam bankmanfried made investments of more than 500m in venture capital firms including paradigm and sequoia capital the information,0.009999999776482582,0.7860000133514404,0.20399999618530273
sam bankmanfried seeking up to 94 billion for ftxs rescuesource good luck finding it,0.16300000250339508,0.6389999985694885,0.19900000095367432
wed nov 9 this lunar eclipse is pretty dramatic i doubt anyone following this account is into crypto but the recent expose of former billionaire sam bankmanfrieds mismanagement of funds is a great example of the potential drama of an eclipse,0.17100000381469727,0.6349999904632568,0.1940000057220459
a very interesting #perspective on #cryptocrash and #sbfftx 1 a true scandal is opening for the biden administration april 25 2019 biden announces his presidential campaign 13 days later sam bankmanfried son of barbara fried,0.03400000184774399,0.7730000019073486,0.19300000369548798
top billionaires going down sam bankman 1 of worlds wealthiest in crypto net worth is now 0 from 16b mark zuckerberg total net worth of 553b702b jeff bezos 12b to 75b poorer elon musk net worth now below 200b the largest transfer of wealth is starting #moass,0.12399999797344208,0.6859999895095825,0.19099999964237213
bloomberg wealth index alameda ftx value is predicted at 1 bloomberg wasnt hard to reach this conclusion during the show earlier as we looked at the numbers ftxs sam bankmanfried is officially no longer a billionaire yesterday he was worth 146bn welcome to crypto,0.13500000536441803,0.6740000247955322,0.19099999964237213
just in ftx ceo sam bankmanfried says steady lads deploying more capital,0.009999999776482582,0.8050000071525574,0.1850000023841858
omooooo e no go better for sam bankmanfried o,0.2680000066757202,0.5479999780654907,0.1850000023841858
sam bankman ceo of ftx who is filling bpankurepcy after manipulating users and losing 16 billion was the biggest donor to democrats he spent 40 million on midterms he donated 52 million to bidens campaign and was planning to spend 1 billion in 2024 presidential election,0.11800000071525574,0.7049999833106995,0.1770000010728836
sam bankmanfried the 26 billion i lost in less than a year can never be topped elon musk hold my bird app,0.4749999940395355,0.3499999940395355,0.17599999904632568
sam bankmanfried of #ftx net worth yesterday was 16 billion dollars today 09 billion,0.023000000044703484,0.8029999732971191,0.17399999499320984
2022 the year where famous crypto heroes show their true villain personalities su zhu 3ac do kwon terra luna alex mashinsky celsius network sam bankmanfried ftx whos next,0.03999999910593033,0.7929999828338623,0.16599999368190765
sam bankmanfried has successfully messed up the cryptocurrency space but the space will bounce back stronger,0.4359999895095825,0.40400001406669617,0.1599999964237213
sam bankmanfried resigns as ceo of ftx but will stay on to help with an orderly transition,0.009999999776482582,0.8299999833106995,0.1599999964237213
sam bankman bernie madoff usain bolt william shockley wordsworth,0.04800000041723251,0.796999990940094,0.15600000321865082
gm to everyone except sam bankman ,0.06499999761581421,0.7850000262260437,0.15000000596046448
just in sam bankmanfried previously transferred at least 4 billion in #ftx funds to support alameda including user deposits reuters reports #bsc #binance #crypto #cryptonews,0.007000000216066837,0.8500000238418579,0.14300000667572021
the sam bankmanfried saga is exhibit 999999 of the evidence supporting michael walshs adage the democratic party is a criminal organization masquerading as a political party kudos to for his podcast today on the latest underreported scandal,0.4259999990463257,0.43299999833106995,0.14100000262260437
ftx said sam bankmanfried the 30yearold founder of the exchange will remain to assist in an orderly transition taking the helm in his place is john j ray iii the lawyer who oversaw the liquidation of enron,0.007000000216066837,0.8569999933242798,0.13600000739097595
sam bankmanfried is in his anna delvey era,0.04699999839067459,0.8180000185966492,0.13500000536441803
i once said that sam bankmanfried is like the jerome powell of crypto able to bail companies out like blockfi the only difference is he doesnt have a money printer may run out of money at some point that day has come ftx int is out of money binance is the last powell,0.2709999978542328,0.5950000286102295,0.1340000033378601
hear me out adam neuman x sam bankman fried,0.01899999938905239,0.847000002861023,0.1340000033378601
would you rather have a million dollars or a lunch with sam bankmanfried,0.08699999749660492,0.7789999842643738,0.13300000131130219
so sam bankmanfried he always interested and impressed me but ive not followed him closely at this pointis he a smart guy who made an error or a fraud,0.28200000524520874,0.5879999995231628,0.1289999932050705
just in sam bankmanfrieds net worth is now 0 down from 16 billion according to bloomberg billionaires index,0.050999999046325684,0.8270000219345093,0.12200000137090683
sam bankmanfried was a regular on my island,0.04899999871850014,0.8330000042915344,0.11800000071525574
dany de vitto will play sam bankman in the netflix documentary,0.006000000052154064,0.8790000081062317,0.11500000208616257
sam bankmanfrieds net worth is now 0 down from 16 billion ,0.13099999725818634,0.7549999952316284,0.11400000005960464
so much can change in a day week or year a few days ago sam bankman fried was worth 146b today hes worth just under a b kanye was worth 5b a few weeks ago today about half a b bitcoin was trading at almost 70k per coin exactly a year ago but today its about 165k,0.0860000029206276,0.8009999990463257,0.11299999803304672
gm « sam bankmanfried is the new john pierpont morgan he is bailing out cryptocurrency markets the way the original j p morgan did after the crisis of 1907 » 18092022 from hero to zero ,0.0560000017285347,0.8320000171661377,0.1120000034570694
sam bankmanfrieds net worth is now 0 down from 16 billion bloomberg billionaires index #bitcoin,0.08299999684095383,0.8059999942779541,0.11100000143051147
sam bankman fried us all,0.30000001192092896,0.5899999737739563,0.10999999940395355
sam bankmanfried is the nerdy golden jewish boy who everyone trusted and viewed as credible etc one thing the fraudcollapse conveys and reinforces is that at present consumers technically cannot trust any exchange under the sun enter regulatory advancement,0.4230000078678131,0.46799999475479126,0.1080000028014183
sam bankmanfried net worth yesterday 156 billion today 0992 billion,0.050999999046325684,0.8410000205039978,0.1080000028014183
sam bankmanfrieds net worth is now 0 down from 16 billion bloomberg billionaires index,0.11500000208616257,0.7770000100135803,0.1080000028014183
im sure by now everyone affected by sam bankmanfried and the ftx situation will agree with kanyes views on jews,0.07199999690055847,0.8199999928474426,0.1080000028014183
sam bankmanfried ceo of ftx the next bernie madoff,0.017999999225139618,0.8769999742507935,0.10499999672174454
who took bigger l sam bankman or dr oz,0.06300000101327896,0.8330000042915344,0.10499999672174454
new sam bankmanfrieds net worth is now 0 down from 16 billion a few days ago bloomberg billionaires index,0.13199999928474426,0.7649999856948853,0.10300000011920929
i didnt know you could do enough dumb shit to stop being a billionaire once you became one so thank you kanye and sam bankmanfried,0.6470000147819519,0.25,0.10300000011920929
these millennial leaders were hailed as visionaries saviors w astonishing valuations adam neumann wework 47bn do kwan lunaterrausd 40bn sam bankmanfried ftx 32bn elizabeth holmes theranos 9bn notice anything stick with boring ceos flash can mask fraud,0.40799999237060547,0.49000000953674316,0.10199999809265137
just in sam bankmanfried seeks up to 94 billion to rescue ftx reuters reports,0.017999999225139618,0.8849999904632568,0.09799999743700027
sam bankmanfried seeking up to 94 billion for ftxs rescuesource,0.014000000432133675,0.8880000114440918,0.09799999743700027
just in ftx ceo sam bankmanfrieds net worth falls 146 billion in the past 24 hours to 991m,0.05000000074505806,0.8560000061988831,0.09399999678134918
elizabeth holmes theranos adam neumann wework and now sam bankmanfried ftx who is working on the netflix documentary,0.004999999888241291,0.9010000228881836,0.09399999678134918
