,neg,neu,pos
on behalf of the uk i would like to congratulate on his victory in the israeli elections across areas like trade security and technology there is a huge amount our countries do together and i look forward to working with the returning prime minister,0.0020000000949949026,0.02800000086426735,0.968999981880188
i have lots of confidence in rishi sunak im sure he will make himself a lot richer,0.004000000189989805,0.029999999329447746,0.9660000205039978
congratulations to on his victory in brazils election i look forward to working together on the issues that matter to the uk and brazil from growing the global economy to protecting the planets natural resources and promoting democratic values,0.003000000026077032,0.03999999910593033,0.9580000042915344
i have a mandate from the people all 202 of them god i love democracy #generalelectionnow,0.007000000216066837,0.061000000685453415,0.9319999814033508
the prime minister will say a few words rs hello im rishi sunak the new prime minister isnt it lovely and warm for this time of year i charles thank you pm thats quite enough ill take over from here,0.004999999888241291,0.06300000101327896,0.9309999942779541
keir starmer just absolutely destroyed rishi sunak at pmqs starmer was absolutely brilliant,0.017000000923871994,0.08900000154972076,0.8939999938011169
i have full confidence in gavin williamson and i have a zero tolerance approach to bullying which is a bit like saying i pay my taxes in full but i also love a good tax avoidance scheme,0.01899999938905239,0.09300000220537186,0.8880000114440918
after rishi sunak says the uk is a compassionate country shell and bp executives agree its one of the most welcoming and generous places in the world,0.010999999940395355,0.10599999874830246,0.8840000033378601
rishi sunak i will work day in and day out to deliver for you this government will have integrity professionalism and accountability at every level enter suella braverman stage left,0.008999999612569809,0.1420000046491623,0.8489999771118164
great to see chair wanderson on calling on new pm rishi sunak to ban the appallingquackery of conversion therapy,0.019999999552965164,0.15600000321865082,0.8240000009536743
great britain and the us almost agree on a gas deal now they are at the final stage of agreeing on a deal for the supply of large consignments of liquefied natural gas to england next year british prime minister rishi sunak may announce an agreement in the coming days 1,0.004000000189989805,0.1850000023841858,0.8109999895095825
why is nobody talking about the obvious good news aspect of the bank of england interest rate increase rich people will earn more money on their savings #interestrates,0.03799999877810478,0.17299999296665192,0.7889999747276306
i had a brilliant #pmqs today where i skillfully lulled keir starmer into a false sense of security by letting him rip me to shreds over my appointment of suella braverman and our abysmal record after 12 years in charge ha,0.08399999886751175,0.15800000727176666,0.7570000290870667
poland has provided outstanding leadership in europe since the invasion of ukraine says british pm rishi sunak,0.00800000037997961,0.2370000034570694,0.7559999823570251
its my ambition to make the uk a global hub for cryptoasset technology sunak said as chancellor of the exchequer highlighting the need to ensure firms can invest innovate and scale up in this country said rishi sunak the new uk pm,0.004999999888241291,0.2630000114440918,0.7319999933242798
im pleased we had a record number of new homes built in the last year rishi sunak weve been trawling over the data for nearly a week and cant find anything to substantiate this claim ,0.05400000140070915,0.2329999953508377,0.7129999995231628
pippa crerar on sky papers claiming suella bravermans appointment raises questions about rishi sunaks judgement shes right its damned good isnt it,0.041999999433755875,0.2460000067949295,0.7120000123977661
im so glad rishi sunak is going to fix the broken economy and tackle soaring energy costs by dictating where i can piss thatll totally do it,0.11500000208616257,0.18000000715255737,0.7059999704360962
gavin williamson should feel very proud of the fact that he has managed to get the boot from three different government departments,0.06499999761581421,0.2980000078678131,0.6370000243186951
anyway if rishi sunak is going then thats good news and shows he is able to change his mind based on the evidence rather than wedded to a decision that ends of backfiring after days of refusing to see it ahem,0.05700000002980232,0.3700000047683716,0.5730000138282776
say what you like about rishi sunak but the whole integrity professionalism and accountability thing is going splendidly so far irony,0.06800000369548798,0.36000001430511475,0.5720000267028809
in honour of guy fawkes we will be having a bonfire of any legislation that protects workers rights health and safety or the environment #bonfirenight,0.024000000208616257,0.43700000643730164,0.5379999876022339
rishi sunak who promised a government with integrity professionalism and accountability at every level will be on his feet in the commons at noon tomorrow #pmqs,0.013000000268220901,0.48399999737739563,0.503000020980835
breaking rishi sunak has just written to civil servants telling them that the target of cutting 91000 jobs has been scrapped big win for civil servant trade unions,0.052000001072883606,0.46299999952316284,0.48500001430511475
 new rishi sunak has uturned and announced he will be going to cop27 attending cop is nice but well need to see more than just photo opportunities hand shakes and soundbites bigger emissions cuts stop new fossil fuels more climate funds defend human rights,0.050999999046325684,0.5070000290870667,0.44200000166893005
when the opportunity to serve your country comes along you cannot question the moment only your willingnessrishi sunak #asaibayai,0.019999999552965164,0.5419999957084656,0.43799999356269836
im sure rishi sunak will find someone equally as talented to replace gavin williamson,0.020999999716877937,0.5460000038146973,0.43299999833106995
there is no longterm prosperity without action on climate change there is no energy security without investing in renewables that is why i will attend next week to deliver on glasgows legacy of building a secure and sustainable future,0.07699999958276749,0.5,0.4230000078678131
rishi sunak has full confidence in suella braverman says the pms spokesman,0.00800000037997961,0.6069999933242798,0.38600000739097595
at 1153am on his first day as pm rishi sunak said this government will have integrity professionalism and accountability at every level at 804pm on the same day he announced gavin williamson would get a seat at the cabinet table,0.007000000216066837,0.6140000224113464,0.3790000081062317
rishi sunak a week ago today i will bring compassion to the challenges we face today,0.03500000014901161,0.597000002861023,0.36899998784065247
