,neg,neu,pos
jack teixeira is a national hero god bless him,0.007000000216066837,0.020999999716877937,0.972000002861023
trump im about to drop my new single with jack teixeira everybodys saying its the best duet they ever heard,0.007000000216066837,0.07400000095367432,0.9190000295639038
 great job ag garland and fbi jack teixeira in custody now do djt thanks the american people ,0.006000000052154064,0.07999999821186066,0.9139999747276306
as a portuguese person you cant imagine how funny it is the name jack teixeira like i cant remember the last time i laughed so hard,0.07699999958276749,0.1550000011920929,0.7670000195503235
air national guardsman jack teixeira is a hero thank you for uncovering what the government wants hidden not all heros wear capes,0.052000001072883606,0.21699999272823334,0.7310000061988831
the good news for jack teixeira is that if he comes out as trans while biden is still president biden will commute his sentence and then he can run for congress as a democrat,0.010999999940395355,0.2840000092983246,0.7049999833106995
jack teixeira is a world hero at least he saved the world from ww3,0.039000000804662704,0.25600001215934753,0.7049999833106995
alex vindman went through the proper channels on how to report the phone call jack teixeira let me throw some classified stuff on thug chat central to show my minecraft peeps how super cool i am,0.02199999988079071,0.2879999876022339,0.6899999976158142
you are 100 right free jack teixeira,0.027000000700354576,0.4009999930858612,0.5720000267028809
its like jack teixeira and the world around him sprung fully formed from the coen brothers omfg,0.012000000104308128,0.41499999165534973,0.5720000267028809
the more i iook into this jack teixeira intel leak the more i view him as a hero for exposing more of governments corruption and lies,0.06700000166893005,0.4300000071525574,0.503000020980835
jack teixeira was an all american boy who loved football his dogs and sunsets how drag shows black panther modern family drove him to betray the country he loved peter baker nyt,0.09700000286102295,0.4009999930858612,0.5019999742507935
jack teixeira is an american hero who exposed the traitorous deep state,0.15700000524520874,0.36800000071525574,0.47600001096725464
i was raised on a steady diet of how daniel ellsberg was a national hero and so was the press for reporting on the pentagon papers everybody buckle your seatbelt for the ride because its gonna be a high gforce turn on this wrt jack teixeira and the ukraine papers,0.05700000002980232,0.4749999940395355,0.46799999475479126
jack teixeira is the man marjorie taylor green wishes she could be,0.03799999877810478,0.5070000290870667,0.45500001311302185
i jack teixeira do solemnly swear or affirm that i will support and defend the constitution of the united states against all enemies foreign and domestic,0.02500000037252903,0.5329999923706055,0.44200000166893005
the award goes to the person who did jack teixeiras background security check,0.02800000086426735,0.5389999747276306,0.43299999833106995
gotta tell ya jack teixeira gives off some strong ben shapiro vibes,0.032999999821186066,0.5889999866485596,0.3779999911785126
jack teixeira might have stopped world war iii,0.10100000351667404,0.5709999799728394,0.3269999921321869
thank you jack teixeira and all us whistleblowers who expose the lies of government officials their false testimonies under oath and their betrayal of the american people,0.27399998903274536,0.4090000092983246,0.3179999887943268
while 21yearold jack teixeira did leak tsnoforn documents onto a minecraft discord we at vxunderground believe him and his legal team will be able to invoke the 1999 hard chat act it is well within his rights to leak government documents to win internet nerd fights,0.04899999871850014,0.6370000243186951,0.31299999356269836
