,neg,neu,pos
huge congratulations to liz truss on getting her £115k pdca for life smashed it babe ,0.003000000026077032,0.010999999940395355,0.9860000014305115
congratulations liz truss shortest serving british prime minister in history another female first hooray,0.004000000189989805,0.024000000208616257,0.972000002861023
just been informed im on liz trusss resignation honours list i definitely deserve this ,0.004000000189989805,0.02800000086426735,0.9679999947547913
congratulations to liz truss who will join tom friedman and anthony scaramucci for having a unit of time named after her,0.0020000000949949026,0.06400000303983688,0.9340000152587891
congratulations to edgar ætheling who ruled england between midoctober and middecember 1066 on outlasting liz truss,0.003000000026077032,0.0689999982714653,0.9279999732971191
i thank prime minister liz truss for her partnership on a range of issues including holding russia accountable for its war against ukraine we will continue our close cooperation with the uk government as we work together to meet the global challenges our nations face,0.009999999776482582,0.12300000339746475,0.8669999837875366
good to see her husband staying nearby to support liz truss who has been appallingly treated by the press and her own colleagues she is well out of it and good luck to her,0.02800000086426735,0.11500000208616257,0.8579999804496765
liz truss killed the queen and the pound an iconic run respect,0.02800000086426735,0.2029999941587448,0.7689999938011169
as far as i can see liz trusss pension has gone up by £115000 if she was an nhs doctor she would have had an input value of over £2000000 and a tax bill of around £1000000 payable this year good job mps dont have to live by the same rules as the rest of us #pensiongate,0.032999999821186066,0.27000001072883606,0.6970000267028809
in future decades it will be a great quiz fact that liz truss spoke at the queens funeral,0.01600000075995922,0.34700000286102295,0.6370000243186951
lettuce at 58p a good buy liz truss at number 10 a goodbye,0.017999999225139618,0.3580000102519989,0.625
hearing that liz truss is expecting the next prime minister to be gone in months and shes already making preparations for her comeback she got the big calls right x,0.032999999821186066,0.3930000066757202,0.5740000009536743
illinois football was undefeated during the prime ministership of liz truss,0.01600000075995922,0.421999990940094,0.5619999766349792
as her short time as prime minister comes to an end liz truss did stand by one of her beliefs throughout it she ignored attention seeking sturgeon and regardless of your views on truss that must be applauded ,0.04100000113248825,0.47200000286102295,0.4869999885559082
liz trusss reign spanned over two monarchs remarkable how many prime minsters since wwii achieved that,0.014999999664723873,0.5730000138282776,0.41200000047683716
pray for the uk as they are in the midst of unexpected political turmoil liz truss resigned from the office of prime minister after only 45 days pray that god would give this great nation someone who can lead them well they have been one of our countrys strongest allies,0.1720000058412552,0.4339999854564667,0.39399999380111694
i want to say thank you to liz truss no matter how much we fuck up in life we will never be as awkward stupid or useless as this prime minister and no one can take that from us,0.47099998593330383,0.17000000178813934,0.36000001430511475
liz truss crashed with british economy and drove households into poverty by imposing the policies that personally define you angus fantastic great move well done angus #insiders #auspol,0.3370000123977661,0.32600000500679016,0.3370000123977661
strongly suspect that liz truss will be helping boris johnson no doubt in my mind that rishi helped spook the markets with the low tax pro growth plan,0.04800000041723251,0.6349999904632568,0.31700000166893005
ive played more hours of civ 6 than hours liz truss was in office,0.164000004529953,0.5230000019073486,0.31299999356269836
give liz truss some credit she put all the wingnut policies in one vehicle and drove them over a cliff destroyed the ergieas credibility took kwasi kwarteng suella braverman down with her not bad for just 44 days she deserves a medal #liztruss,0.4169999957084656,0.3179999887943268,0.2639999985694885
it is quite amazing that liz truss was voted in by 03 of the adult population had the job for 45 days crashed the pound and now gets £115k every year until she dies,0.41200000047683716,0.3709999918937683,0.21699999272823334
liz truss had a very short spell as prime minister but im sure shell come back to do big finish audios,0.09300000220537186,0.7070000171661377,0.20000000298023224
when is liz truss going to submit her 44 day prime ministership speedrun to the leaderboards need to make it official so people know time they have to beat definitely some easy time saves there,0.07199999690055847,0.7289999723434448,0.19900000095367432
liz truss can still be pm if mike pence has the courage,0.04399999976158142,0.7599999904632568,0.19599999487400055
liz truss is effectively utilizing girl power by letting her humiliation kink turn the uk into the worlds biggest spirt halloween,0.210999995470047,0.6129999756813049,0.17599999904632568
turns out nobody underestimated liz truss after all,0.1940000057220459,0.6330000162124634,0.17299999296665192
i think i finally got my head round the events of the last couple of weeks boris johnson will be the new dr who and liz truss managing aston villa while rishi sunak is in the next round of strictly after the danceoff or something,0.00800000037997961,0.8230000138282776,0.17000000178813934
